,newdata.user_id,newdata.created_at,newdata.screen_name,newdata.text,newdata.source,newdata.display_text_width,newdata.reply_to_status_id,newdata.reply_to_user_id,newdata.reply_to_screen_name,newdata.is_quote,newdata.is_retweet,newdata.favorite_count,newdata.quote_count,newdata.reply_count,newdata.location,score
949,973671028533616000,2022-06-12 20:40:02,kayyprattbrat,MY HOMETOWN MADE NATIONAL NEWS REPORTS SAY THE RIOTERS ARENT LOCAL HOWEVER IF YOU WANT TO KNOW HOW THEY THOUGHT THEY WERE WELCOME IN OUR TYPICALLY PEACEFUL CITY JUST SCROLL THROUGH THE COMMENTS AND SEE WHICH SIDE INVITED THEM,Twitter for Android,255,,,,False,False,0,,,United States,positiva
950,1109462738735160064,2022-06-12 20:39:30,2comprendre,DEMAND IS THRU THE FUQING SKY JOBLESSNESS IS NEARING ZERO BUT NEWS REPORTS THAT PEOPLE SAY THE ECONOMY SUCKS PEOPLE OR NEWS ARE CLUELESS TAKE A BUS OR TRAIN PEOPLE A TRAIN TICKET IS STILL 250 GODDAM STOP COMPLAINING IF YOU VOTE FOR A REPUB YOULL GET NOTHING STFU,Twitter for iPhone,276,,,,False,False,2,,,"Here, United States",negativa
951,984617447121652992,2022-06-12 16:47:43,Dalocoengineer,TRANSFER NEWS TODAY LIVE MANCHESTER UNITED ARE INTERESTED IN SIGNING ROBERT LEWANDOWSKI LATEST REPORTS ANALYSIS,Twitter for Android,139,,,,False,True,0,,, U.S.A,positiva
952,24556748,2022-06-12 20:38:40,whosoever88,MEDIA SCHOLZ MACRON DRAGHI TO MEET ZELENSKY IN KYIV AHEAD OF G7 SUMMIT GERMAN NEWS OUTLET BILD REPORTS THAT GERMAN CHANCELLOR OLAF SCHOLZ FRENCH PRESIDENT EMMANUEL MACRON AND ITALIAN PRIME MINISTER MARIO DRAGHI PLAN TO COME TO KYIV BEFORE THE G7 SUMMIT ON JUNE 2628,Twitter Web App,140,,,,False,True,0,,,Wisconsin,neutral/SI
953,1495389205224110080,2022-06-12 20:38:32,rafalandya7,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for Android,112,,,,False,True,0,,,EUA,negativa
954,1429094782631079936,2022-06-12 20:38:22,TheMoojuMan,LEEROBSON23 NUFC360 THEYRE NOT THE ACTUAL SOURCE THO THEYRE JUST A NEWS WEBSITE THAT REPORTS ON STORIES FROM OTHER SOURCES THE STORY STATES TUTTOSPORT AS THE ACTUAL SOURCE TUTTOSPORT LIKES TO GOSSIP BUT THEY ARE BASED IN TURIN SO KNOW A THING OR TWO ABOUT JUVES TRANSFERS UNLIKELY DEAL THO,Twitter Web App,280,1.53607709138038e+18,19841302.0,leerobson23,False,False,0,,,,negativa
955,1487020963380150016,2022-06-12 20:37:12,margoderinger,DEVASTATING NEWS RIP COOPER NORIEGA LIFE IS FRAGILE ENJOY EVERY MINUTE,Twitter for iPhone,112,,,,False,True,0,,,,negativa
956,764316763,2022-06-12 20:36:36,dyer_pj,DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD,Twitter for Android,139,,,,False,True,0,,,,positiva
957,192837160,2022-06-12 20:36:33,JonaOnDrums,MANUNITEDLIVE AND YOUR SECRETARY WOULD ALLOW YOU TO RELEASE SUCH NEWS BEFORE AN OFFICIAL ANNOUNCEMENT LOVE IT,Twitter for iPhone,102,1.53599429276991e+18,1.43185960527805e+18,Man_UnitedLive,False,False,0,,,Bristol,positiva
958,972798478941392000,2022-06-12 20:35:53,Skipbear7845,REQUEST DENIED REP MATT GAETZ ALLEGEDLY SOUGHT A BLANKET PRESIDENTIAL PARDON FROM DONALD TRUMP IN THE CLOSING WEEKS OF HIS ADMINISTRATION A REQUEST WHICH WAS ULTIMATELY NOT FULFILLED ACCORDING TO NEWS REPORTS,Twitter for iPhone,139,,,,False,True,0,,,,negativa
959,1200888443796090112,2022-06-12 20:34:54,PunkReds,LIVERPOOL CLOSE TO SIGNING NUNEZ OH REALLY BECAUSE IT WAS APPARENTLY SIGNED AND SEALED DONE DEAL 4 DAYS AGO WITH AN ANNOUNCEMENT IMMINENT THIS IS WHY I HATE TRANSFER NEWS,Twitter for Android,178,,,,False,False,0,,,Europe,negativa
960,469060518,2022-06-12 20:34:42,GkhanTonga,GOOD DAY BUDS NEW PROJECT ON THE MARKET PLEASE CHECK ANNOUNCEMENT FOR GREAT NEWS COMING SOON FURTHER INFORMATION WILL BE AVAILABLE SOON STAY TUNED,Twitter for iPhone,140,,,,False,True,0,,,,positiva
