"newdata.user_id","newdata.created_at","newdata.screen_name","newdata.text","newdata.source","newdata.display_text_width","newdata.reply_to_status_id","newdata.reply_to_user_id","newdata.reply_to_screen_name","newdata.is_quote","newdata.is_retweet","newdata.favorite_count","newdata.quote_count","newdata.reply_count","newdata.location"
"3011725196",2022-06-13 05:40:46,"Craiger755","HOW COME THERES NO REPORTS OF UNVACCINATED PPL GETTING COVID REPEATEDLY YOU KNOW IF THERE WERE THE BRIBED LIBERAL NEWS WOULD BE PUMPING IT 247 ON YOUR DIME IN ORDER TO KEEP TAKING YOUR DIME","Twitter for iPhone",193,NA,NA,NA,FALSE,FALSE,0,NA,NA," alberta"
"1467886009446588417",2022-06-13 05:40:30,"libraparkjm","UCC JIMIN SHINES AS HE GOES VIRAL FOR HIS MESMERIZING VOCALS AND KMEDIA FEATURE HIM IN NEWS REPORTS ON BTSS COMEBACK","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"pjm1• solo • sh!her • 18"
"817759249",2022-06-13 05:39:40,"patty_hrdbdy89","HI HALLMARKCHANNEL WE HEARTIES ARE STILL PATIENTLY WAITING FOR THE SEASON 10 ANNOUNCEMENT I REALLY MISS THIS LITTLE BOY HOPEFULLY WELL HEAR THE GOOD NEWS SOON ALLINFORSEASON10 LUCABETH WEAREHOPEVALLEY WCTH","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Indio, CA"
"1392095341886025805",2022-06-13 05:39:34,"FrancoiseVierne","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,"Aquitaine, France"
"606582845",2022-06-13 05:39:32,"Tikanos","TRUMP CE QUE LES FAKES NEWS NE VOUS MONTRERONT JAMAIS DONALD TRUMP SUR POUTINE EN 2017 EN MOINS DUNE MINUTE IL AVAIT TOUT RSUM TRUMPWASRIGHTABOUTEVERYTHING","Twitter for iPhone",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"835176590564716545",2022-06-13 05:38:06,"BlueFairyJeny","THINGS TO LOOK FORWARD TO IN THE COMING WEEK FED INFLATION EXPECTATIONS JEROME POWELL NEWS CONFERENCE JOBLESS CLAIMS DERP ANNOUNCEMENT AT LEAST ONE OF THESE ITEMS WILL BE EXCITING","Twitter for Android",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1429368026311188483",2022-06-13 05:37:37,"bronseve","WE ARE GLAD TO ANNOUNCE OUR COLLABORATION WITH TUZANYESPORTS WE WILL HAVE SOME OTHER NEWS COMING FOR YOU GUYS THIS WEEK SO KEEP AN EYE OUT FOR MORE ANNOUNCEMENTS READ MORE","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1501098125490012161",2022-06-13 05:37:26,"AryanSi76124360","MEGA WEVE AN AMAZING ANNOUNCEMENT FOR OUR AUDIENCE TODAY THAT OUR YIELDBOX WEBSITE IS COMING SOON STAY TUNED FOR FURTHER UPDATES AND NEWS BSC TITANO LIBERA SAFUU AUTOSTAKING BUSD BINANCE BSCGEM NFT BNB","Twitter Web App",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1158008019373953024",2022-06-13 05:36:32,"GordonL45822272","DEAR BBCNEWS BEFORE ANYBODY STARTS TO WATCH YOUR BIAS NEWS REPORTS ON RWANDA I CAN REPORT THAT EVERYONE IN THE PUB LAST NIGHT IS DELIGHTED THE FLIGHTS ARE GOING AHEAD","Twitter for Android",139,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
"1352106696345268231",2022-06-13 05:36:32,"SophieVentresca","BREAKING FARS NEWS REPORTS ANOTHER MYSTERIOUS DEATH IN IRAN MOHAMMAD ABDOUS A WORKER AT SEMNAN AEROSPACE THIS FOLLOWS NEWS OF THE DEATH OF IRGC AEROSPACE FORCES ALI KAMANI IN KHOMEYN THE ANNOUNCEMENT LIKE KAMANI CALLS HIM A MARTYR 12","Twitter Web App",140,NA,NA,NA,FALSE,TRUE,0,NA,NA,""
